ip.version,ip.hdr_len,ip.tos,ip.id,ip.flags,ip.flags.rb,ip.flags.df,ip.flags.mf,ip.frag_offset,ip.ttl,ip.proto,ip.checksum,ip.src,ip.dst,ip.len,ip.dsfield,tcp.srcport,tcp.dstport,tcp.seq,tcp.ack,tcp.len,tcp.hdr_len,tcp.flags,tcp.flags.fin,tcp.flags.syn,tcp.flags.reset,tcp.flags.push,tcp.flags.ack,tcp.flags.urg,tcp.flags.cwr,tcp.window_size,tcp.checksum,tcp.urgent_pointer,tcp.options.mss_val
"4","20",,"0x0813","0x40","0","1","0","0","111","6","0xea9d","20.82.250.189","10.0.0.4","52","0x00","443","52396","0","1","0","32","0x0012","0","1","0","0","1","0","0","65535","0x59f3","0","1440"
"6",,,,,,,,,,,,,,,,"52397","443","0","0","0","32","0x0002","0","1","0","0","0","0","0","64800","0x12ad","0","1440"
"6",,,,,,,,,,,,,,,,"443","52397","0","1","0","32","0x0012","0","1","0","0","1","0","0","65535","0xee39","0","1340"
"6",,,,,,,,,,,,,,,,"52398","443","0","0","0","32","0x0002","0","1","0","0","0","0","0","64800","0xbb35","0","1440"
"6",,,,,,,,,,,,,,,,"443","52398","0","1","0","32","0x0012","0","1","0","0","1","0","0","65535","0xefe0","0","1340"
"6",,,,,,,,,,,,,,,,"52399","443","0","0","0","32","0x0002","0","1","0","0","0","0","0","64800","0x8a23","0","1440"
"6",,,,,,,,,,,,,,,,"52400","443","0","0","0","32","0x0002","0","1","0","0","0","0","0","64800","0x9c07","0","1440"
"6",,,,,,,,,,,,,,,,"443","52399","0","1","0","32","0x0012","0","1","0","0","1","0","0","65535","0x6bfa","0","1340"
"6",,,,,,,,,,,,,,,,"443","52400","0","1","0","32","0x0012","0","1","0","0","1","0","0","65535","0x035a","0","1340"
"6",,,,,,,,,,,,,,,,"52401","443","0","0","0","32","0x0002","0","1","0","0","0","0","0","64800","0xa43d","0","1440"
"6",,,,,,,,,,,,,,,,"443","52401","0","1","0","32","0x0012","0","1","0","0","1","0","0","65535","0xbb84","0","1340"
"4","20",,"0x2c5f","0x40","0","1","0","0","128","6","0xba4f","10.0.0.4","10.0.0.18","52","0x00","52402","8008","0","0","0","32","0x0002","0","1","0","0","0","0","0","64240","0xc7fb","0","1460"
"4","20",,"0x0000","0x40","0","1","0","0","64","6","0x26af","10.0.0.18","10.0.0.4","52","0x00","8008","52402","0","1","0","32","0x0012","0","1","0","0","1","0","0","65535","0x1a5f","0","1460"
"4","20",,"0x2c63","0x40","0","1","0","0","128","6","0xba4b","10.0.0.4","10.0.0.18","52","0x00","52403","8009","0","0","0","32","0x0002","0","1","0","0","0","0","0","64240","0xcb36","0","1460"
"4","20",,"0x0000","0x40","0","1","0","0","64","6","0x26af","10.0.0.18","10.0.0.4","52","0x00","8009","52403","0","1","0","32","0x0012","0","1","0","0","1","0","0","65535","0xea7b","0","1460"
"6",,,,,,,,,,,,,,,,"52404","443","0","0","0","32","0x0002","0","1","0","0","0","0","0","64800","0xd8e5","0","1440"
"6",,,,,,,,,,,,,,,,"443","52404","0","1","0","32","0x0012","0","1","0","0","1","0","0","65535","0xebe7","0","1340"
"6",,,,,,,,,,,,,,,,"52405","443","0","0","0","32","0x0002","0","1","0","0","0","0","0","64800","0x5095","0","1440"
"6",,,,,,,,,,,,,,,,"52406","443","0","0","0","32","0x0002","0","1","0","0","0","0","0","64800","0x0687","0","1440"
"6",,,,,,,,,,,,,,,,"443","52406","0","1","0","32","0x0012","0","1","0","0","1","0","0","65535","0x49fc","0","1340"
"6",,,,,,,,,,,,,,,,"443","52405","0","1","0","32","0x0012","0","1","0","0","1","0","0","65535","0x405f","0","1340"
"4","20",,"0x2cdf","0x40","0","1","0","0","128","6","0x3f0c","10.0.0.4","23.3.109.210","52","0x00","52407","443","0","0","0","32","0x0002","0","1","0","0","0","0","0","64240","0xa323","0","1460"
"4","20",,"0x0000","0x40","0","1","0","0","54","6","0xb5eb","23.3.109.210","10.0.0.4","52","0x00","443","52407","0","1","0","32","0x0012","0","1","0","0","1","0","0","64240","0xcb65","0","1452"
"6",,,,,,,,,,,,,,,,"52408","443","0","0","0","32","0x0002","0","1","0","0","0","0","0","64800","0x686b","0","1440"
"6",,,,,,,,,,,,,,,,"443","52408","0","1","0","32","0x0012","0","1","0","0","1","0","0","65535","0x251c","0","1340"
"6",,,,,,,,,,,,,,,,"52409","443","0","0","0","32","0x0002","0","1","0","0","0","0","0","64800","0x9f06","0","1440"
"6",,,,,,,,,,,,,,,,"443","52409","0","1","0","32","0x0012","0","1","0","0","1","0","0","64800","0xbe2f","0","1340"
"4","20",,"0xa43c","0x40","0","1","0","0","128","6","0x07a7","10.0.0.4","142.250.181.226","52","0x00","52410","443","0","0","0","32","0x0002","0","1","0","0","0","0","0","64240","0x0706","0","1460"
"4","20",,"0x5c7a","0x40","0","1","0","0","128","6","0xd55f","10.0.0.4","46.228.144.2","52","0x00","52411","443","0","0","0","32","0x0002","0","1","0","0","0","0","0","64240","0x8f55","0","1460"
"4","20",,"0x5c7b","0x40","0","1","0","0","128","6","0xd55e","10.0.0.4","46.228.144.2","52","0x00","52412","443","0","0","0","32","0x0002","0","1","0","0","0","0","0","64240","0xd793","0","1460"
"4","20",,"0x5c7c","0x40","0","1","0","0","128","6","0xd55d","10.0.0.4","46.228.144.2","52","0x00","52413","443","0","0","0","32","0x0002","0","1","0","0","0","0","0","64240","0x747f","0","1460"
"4","20",,"0x5c7d","0x40","0","1","0","0","128","6","0xd55c","10.0.0.4","46.228.144.2","52","0x00","52414","443","0","0","0","32","0x0002","0","1","0","0","0","0","0","64240","0xa16c","0","1460"
"4","20",,"0x5c7e","0x40","0","1","0","0","128","6","0xd55b","10.0.0.4","46.228.144.2","52","0x00","52415","443","0","0","0","32","0x0002","0","1","0","0","0","0","0","64240","0x13fe","0","1460"
"4","20",,"0xab15","0x40","0","1","0","0","128","6","0x9d19","10.0.0.4","151.101.17.44","52","0x00","52416","443","0","0","0","32","0x0002","0","1","0","0","0","0","0","64240","0xdf46","0","1460"
"4","20",,"0x9e20","0x40","0","1","0","0","128","6","0x8703","10.0.0.4","92.123.111.33","52","0x00","52417","443","0","0","0","32","0x0002","0","1","0","0","0","0","0","64240","0x432d","0","1460"
"4","20",,"0x9e21","0x40","0","1","0","0","128","6","0x8702","10.0.0.4","92.123.111.33","52","0x00","52418","443","0","0","0","32","0x0002","0","1","0","0","0","0","0","64240","0x0f92","0","1460"
"4","20",,"0x0000","0x40","0","1","0","0","56","6","0x79da","46.228.144.2","10.0.0.4","52","0x00","443","52411","0","1","0","32","0x0012","0","1","0","0","1","0","0","65535","0xc224","0","1452"
"4","20",,"0x0000","0x40","0","1","0","0","56","6","0x79da","46.228.144.2","10.0.0.4","52","0x00","443","52412","0","1","0","32","0x0012","0","1","0","0","1","0","0","65535","0x04c2","0","1452"
"4","20",,"0x0000","0x40","0","1","0","0","56","6","0x79da","46.228.144.2","10.0.0.4","52","0x00","443","52413","0","1","0","32","0x0012","0","1","0","0","1","0","0","65535","0xb673","0","1452"
"6",,,,,,,,,,,,,,,,"52419","443","0","0","0","32","0x0002","0","1","0","0","0","0","0","64800","0x784e","0","1440"
"4","20",,"0x0000","0x40","0","1","0","0","56","6","0x79da","46.228.144.2","10.0.0.4","52","0x00","443","52414","0","1","0","32","0x0012","0","1","0","0","1","0","0","65535","0x03c5","0","1452"
"4","20",,"0x0000","0x40","0","1","0","0","56","6","0x79da","46.228.144.2","10.0.0.4","52","0x00","443","52415","0","1","0","32","0x0012","0","1","0","0","1","0","0","65535","0xb402","0","1452"
"6",,,,,,,,,,,,,,,,"443","52419","0","1","0","32","0x0012","0","1","0","0","1","0","0","65535","0xbb22","0","1340"
