ip.version,ip.hdr_len,ip.tos,ip.id,ip.flags,ip.flags.rb,ip.flags.df,ip.flags.mf,ip.frag_offset,ip.ttl,ip.proto,ip.checksum,ip.src,ip.dst,ip.len,ip.dsfield,tcp.srcport,tcp.dstport,tcp.seq,tcp.ack,tcp.len,tcp.hdr_len,tcp.flags,tcp.flags.fin,tcp.flags.syn,tcp.flags.reset,tcp.flags.push,tcp.flags.ack,tcp.flags.urg,tcp.flags.cwr,tcp.window_size,tcp.checksum,tcp.urgent_pointer,tcp.options.mss_val
"4","20",,"0x0000","0x40","0","1","0","0","59","6","0x9dd5","72.246.151.16","192.168.1.56","60","0x00","80","57672","0","1","0","40","0x0012","0","1","0","0","1","0","0","28960","0x6150","0","1360"
"4","20",,"0x0000","0x40","0","1","0","0","60","6","0x4f79","95.100.205.254","192.168.1.56","60","0x00","443","57671","0","1","0","40","0x0012","0","1","0","0","1","0","0","65160","0xe51a","0","1360"
"4","20",,"0x0000","0x40","0","1","0","0","64","6","0x0ab8","192.168.1.56","104.26.6.6","64","0x00","57673","443","0","0","0","44","0x0002","0","1","0","0","0","0","0","65535","0x4aca","0","1460"
"4","20",,"0x0000","0x40","0","1","0","0","64","6","0x0ab8","192.168.1.56","104.26.6.6","64","0x00","57674","443","0","0","0","44","0x0002","0","1","0","0","0","0","0","65535","0xffab","0","1460"
"4","20",,"0x0000","0x40","0","1","0","0","64","6","0x0ab8","192.168.1.56","104.26.6.6","64","0x00","57675","443","0","0","0","44","0x0002","0","1","0","0","0","0","0","65535","0xdcb2","0","1460"
"4","20",,"0x0000","0x40","0","1","0","0","64","6","0x0ab8","192.168.1.56","104.26.6.6","64","0x00","57676","443","0","0","0","44","0x0002","0","1","0","0","0","0","0","65535","0xc793","0","1460"
"4","20",,"0x0000","0x40","0","1","0","0","50","6","0xf07f","185.33.221.50","192.168.1.56","60","0x08","443","57670","0","1","0","40","0x0012","0","1","0","0","1","0","0","43440","0x3b87","0","1360"
"4","20",,"0x0000","0x40","0","1","0","0","64","6","0xb910","192.168.1.56","172.217.18.238","64","0x00","57677","443","0","0","0","44","0x0002","0","1","0","0","0","0","0","65535","0xd58d","0","1460"
"4","20",,"0x0000","0x40","0","1","0","0","64","6","0x5770","192.168.1.56","34.107.254.252","64","0x00","57678","443","0","0","0","44","0x0002","0","1","0","0","0","0","0","65535","0xfc64","0","1460"
"4","20",,"0x0000","0x40","0","1","0","0","64","6","0x4bb4","192.168.1.56","35.241.9.51","64","0x00","57679","443","0","0","0","44","0x0002","0","1","0","0","0","0","0","65535","0xa40a","0","1460"
"4","20",,"0x0000","0x40","0","1","0","0","64","6","0x98d1","192.168.1.56","72.246.151.16","64","0x00","57680","80","0","0","0","44","0x0002","0","1","0","0","0","0","0","65535","0xe4d9","0","1460"
"4","20",,"0x0000","0x40","0","1","0","0","64","6","0x8557","192.168.1.56","172.67.71.61","64","0x00","57681","443","0","0","0","44","0x0002","0","1","0","0","0","0","0","65535","0x8cbf","0","1460"
