ip.version,ip.hdr_len,ip.id,ip.flags,ip.flags.rb,ip.flags.df,ip.flags.mf,ip.frag_offset,ip.ttl,ip.proto,ip.checksum,ip.src,ip.dst,ip.len,ip.dsfield,tcp.srcport,tcp.dstport,tcp.seq,tcp.ack,tcp.len,tcp.hdr_len,tcp.flags,tcp.flags.fin,tcp.flags.syn,tcp.flags.reset,tcp.flags.push,tcp.flags.ack,tcp.flags.urg,tcp.flags.cwr,tcp.window_size,tcp.checksum,tcp.urgent_pointer,tcp.time_delta,tcp.stream,frame.time_relative,frame.len,stream_key,average_time_delta,std_time_delta,average_ttl,std_ttl,average_len,std_len,os
4,20,0x270f,64,0,1,0,0,128,6,0x0000,10.0.0.10,142.250.186.100,52,0,62657,443,2256,6120,0,32,16,0,0,0,0,1,0,0,131840,0x538f,0,0.00017,7,18.075217,66,7,0.00011729999999999998,0.0001063725632962853,128.0,0.0,3.1,9.803060746521977,Windows
4,20,0x2710,64,0,1,0,0,128,6,0x0000,10.0.0.10,142.250.186.100,52,0,62657,443,2256,6120,0,32,16,0,0,0,0,1,0,0,131840,0x538f,0,9.8e-05,7,18.075315,66,7,0.00011729999999999998,0.0001063725632962853,128.0,0.0,3.1,9.803060746521977,Windows
4,20,0x2711,64,0,1,0,0,128,6,0x0000,10.0.0.10,142.250.186.100,52,0,62657,443,2256,6120,0,32,16,0,0,0,0,1,0,0,131840,0x538f,0,4.7e-05,7,18.075362,66,7,0.00011729999999999998,0.0001063725632962853,128.0,0.0,3.1,9.803060746521977,Windows
4,20,0x2712,64,0,1,0,0,128,6,0x0000,10.0.0.10,142.250.186.100,52,0,62657,443,2256,6120,0,32,16,0,0,0,0,1,0,0,131840,0x538f,0,4.3e-05,7,18.075405,66,7,0.00011729999999999998,0.0001063725632962853,128.0,0.0,3.1,9.803060746521977,Windows
4,20,0x2713,64,0,1,0,0,128,6,0x0000,10.0.0.10,142.250.186.100,52,0,62657,443,2256,6120,0,32,16,0,0,0,0,1,0,0,131840,0x538f,0,4.5e-05,7,18.07545,66,7,0.00011729999999999998,0.0001063725632962853,128.0,0.0,3.1,9.803060746521977,Windows
4,20,0x2714,64,0,1,0,0,128,6,0x0000,10.0.0.10,142.250.186.100,52,0,62657,443,2256,6120,0,32,16,0,0,0,0,1,0,0,131840,0x538f,0,4.4e-05,7,18.075494,66,7,0.00011729999999999998,0.0001063725632962853,128.0,0.0,3.1,9.803060746521977,Windows
4,20,0x2715,64,0,1,0,0,128,6,0x0000,10.0.0.10,142.250.186.100,52,0,62657,443,2256,6120,0,32,16,0,0,0,0,1,0,0,131840,0x538f,0,4.7e-05,7,18.075541,66,7,0.00011729999999999998,0.0001063725632962853,128.0,0.0,3.1,9.803060746521977,Windows
4,20,0x2716,64,0,1,0,0,128,6,0x0000,10.0.0.10,142.250.186.100,52,0,62657,443,2256,6120,0,32,16,0,0,0,0,1,0,0,131840,0x538f,0,4.6e-05,7,18.075587,66,8,4.940000000000001e-05,6.484168755086841e-06,128.0,0.0,0.0,0.0,Windows
4,20,0x2717,64,0,1,0,0,128,6,0x0000,10.0.0.10,142.250.186.100,52,0,62657,443,2256,6120,0,32,16,0,0,0,0,1,0,0,131840,0x538f,0,4.5e-05,7,18.075632,66,8,4.940000000000001e-05,6.484168755086841e-06,128.0,0.0,0.0,0.0,Windows
4,20,0x2718,64,0,1,0,0,128,6,0x0000,10.0.0.10,142.250.186.100,52,0,62657,443,2256,6120,0,32,16,0,0,0,0,1,0,0,131840,0x538f,0,5.6e-05,7,18.136181,66,8,4.940000000000001e-05,6.484168755086841e-06,128.0,0.0,0.0,0.0,Windows
